Characteristic,Example 1,Example 2,Example 3,Example 4,Example 5,Example 6,Example 7,Example 8,Example 9,Example 10,Example 11,Example 12,Persona 13: The Aspiring Engineer,Persona 14: The Social Science Advocate,Persona 15: The Creative Entrepreneur,Persona 16: The Career-Changer,Persona 17: The First-Generation Scholar,Persona 18: The Driven Freshman,Persona 119: The Social Science Senior,Persona 20: The Tech-Savvy Junior,Persona 21: The Returning Career-Changer,Persona 22: The First-Gen Sophomore
Time Management,Balances school and social life well,Struggles to meet deadlines,"Must juggle work, kids, and school",Organized and plans well,Finds it hard to stay organized,Easily distracted,Manages time effectively,"Tight schedule, well-organized",Juggles research and coursework,Sometimes misses deadlines,Tightly manages limited time,"Tight schedules, needs flexibility","Excellent, uses a digital planner, schedules study blocks, rarely procrastinates.","Very good, balances academics, volunteering, and social life effectively with a detailed planner.","Variable, prioritizes business tasks, sometimes sacrifices sleep for schoolwork, can procrastinate on less engaging tasks.","Excellent, highly organized due to family and work commitments, uses strict schedules.","Challenged, struggles with balancing work, family obligations, and studies; needs structured support.","Excellent, uses a digital planner, schedules study blocks, rarely procrastinates.","Very good, balances academics, volunteering, and social life effectively with a detailed planner.","Good, uses digital tools and agile methods for projects, can sometimes get hyper-focused on one task.","Excellent, highly organized due to family and work commitments, uses strict schedules and to-do lists.","Challenged, struggles with balancing work, family obligations, and studies; needs significant structured support."
Confidence Levels,High confidence,Moderate confidence,Low confidence,Very confident,Moderate confidence,Confident in academics,Moderate confidence,Very confident,Very confident,Low to moderate confidence,Moderately confident,Varied confidence day-to-day,"High overall, particularly in his intellectual abilities.","High, especially in group settings and when expressing her opinions.","High in her entrepreneurial skills and artistic talent, lower when facing academic setbacks.","Building, initially low due to long break from academia, but increasing with each successful step.","Growing, initially low due to unfamiliarity with college, but gaining confidence with small successes.","High overall, particularly in his intellectual abilities.","High, especially in group settings and when expressing her opinions.","High, particularly in technical skills and problem-solving.","Building, initially low due to long break from academia, but increasing with each successful step.","Growing, initially low due to unfamiliarity with college, but gaining confidence with small successes."
Learning Motivation,Passionate about the subject,Focused on getting a degree,Looking to advance career,Driven by career advancement,Wants a higher salary,Passionate about subject matter,Wants to build a network,Wants career advancement,Driven by curiosity,Learning for personal growth,Passionate about justice,Driven by athletic goals,Intrinsic; driven by curiosity and a desire to build and innovate.,Intrinsic; passionate about social change and understanding complex societal issues.,"Intrinsic; driven by creativity, independence, and the desire to build a successful business.","Extrinsic initially (better career prospects, stable income), but also intrinsic desire for a meaningful profession.","Mix of extrinsic (support family, secure future) and intrinsic (personal growth, intellectual curiosity).",Intrinsic; driven by curiosity and a desire to build and innovate.,Intrinsic; passionate about social change and understanding complex societal issues.,"Intrinsic; driven by a passion for technology, innovation, and building new things.","Extrinsic initially (better career prospects, stable income), but also intrinsic desire for a meaningful profession.","Mix of extrinsic (support family, secure future) and intrinsic (personal growth, intellectual curiosity)."
Engagement Style,"Proactive, asks questions","Observant, reserved",Active in online discussions,Likes working independently,Rarely participates,Highly engaged in class,Prefers small group discussions,Observes and participates occasionally,Proactive researcher,Rarely speaks up in class,Prefers debate and discussion,Enjoys team-based activities,"Engages actively in labs and problem-solving sessions, asks clarifying questions in lectures.","Participates frequently in class discussions, enjoys debates, seeks out opportunities for group projects.","Engages most in studio classes or project-based courses, can be quieter in traditional lectures.","Attentive listener, asks thoughtful questions, prefers to absorb information before contributing.","Attentive listener, more likely to ask questions in smaller groups or during office hours.","Engages actively in labs and problem-solving sessions, asks clarifying questions in lectures.","Participates frequently in class discussions, enjoys debates, seeks out opportunities for group projects.","Engages most during technical explanations and labs, prefers hands-on learning, less vocal in large lectures.","Attentive listener, asks thoughtful questions, prefers to absorb information before contributing.","Attentive listener, more likely to ask questions in smaller groups or during office hours."
Preferred Learning Methods,Prefers hands-on activities,Learns through visual aids,Prefers reading materials,Enjoys listening to lectures,Prefers group activities,Prefers hands-on experiments,Learns through videos,Enjoys case studies,Prefers reading research papers,Prefers written material,Learns best with outlines,Prefers video learning,"Hands-on labs, problem sets, coding exercises, online tutorials, independent study.","Reading scholarly articles, group discussions, debates, writing essays, case studies.","Visual demonstrations, hands-on projects, workshops, online courses, learning by doing.","Online modules, practical examples, written instructions, self-paced learning, discussion boards.","Visual aids, one-on-one tutoring, structured lessons, clear outlines, real-world examples.","Hands-on labs, problem sets, coding exercises, online tutorials, independent study.","Reading scholarly articles, group discussions, debates, writing essays, case studies.","Hands-on coding, lab work, online documentation, problem sets, hackathons, practical projects.","Online modules, practical examples, written instructions, self-paced learning, discussion boards.","Visual aids, one-on-one tutoring, structured lessons, clear outlines, real-world examples, repeated practice."
Technology Comfort Level,Very comfortable with technology,Prefers traditional methods,Comfortable with online resources,Advanced tech skills,Adequate tech skills,Enjoys using digital tools,Tech-savvy and adaptive,Very comfortable with tech,Expert in scientific software,Basic tech skills,Proficient in legal software,Comfortable with general tech,"Extremely high, proficient with multiple programming languages, engineering software, and online platforms.","High, comfortable with research databases, online collaboration tools, and presentation software.","High, adept at graphic design software, e-commerce platforms, and social media marketing tools.","Moderate, comfortable with basic productivity software (Word, email), but needs guidance with new platforms or complex systems.","Moderate, comfortable with basic computer use, but needs assistance with specialized academic software.","Extremely high, proficient with multiple programming languages, engineering software, and online platforms.","High, comfortable with research databases, online collaboration tools, and presentation software.","Extremely high, early adopter of new technologies, proficient in coding and various software.","Moderate, comfortable with basic productivity software (Word, email), but needs guidance with new platforms or complex systems.","Moderate, comfortable with basic computer use, but needs assistance with specialized academic software."
Academic Support,Access to a study group,Tutors available,Limited access to tutors,Utilizes peer study groups,Online tutoring available,Peer-led study group,Attends office hours,Mentorship program access,Research group support,University-provided tutors,Access to professors' office hours,Access to sports tutors,"Access to advanced labs and research opportunities, peer study groups for challenging courses.","Opportunities for undergraduate research, writing center for complex papers, faculty mentorship.","Mentorship from professors in creative fields, business advising for student entrepreneurs, project feedback.","Academic advising for course selection, writing center for refreshers, technology support for online learning.","Tutoring in math and science, financial aid counseling, academic coaching for time management and study skills.","Access to advanced labs and research opportunities, peer study groups for challenging courses.","Opportunities for undergraduate research, writing center for complex papers, faculty mentorship.","Access to specialized software/hardware, networking events, career services for job placement.","Academic advising for course selection, writing center for refreshers, technology support for online learning.","Tutoring in math and science, financial aid counseling, academic coaching for time management and study skills."
Emotional Support,Strong support from family,Encouragement from friends,Relies on community support,Supportive partner,Friends provide encouragement,Supportive family,Finds motivation from peers,Relies on family support,Spouse is a strong supporter,Close-knit group of friends,Strong connection to community,Supportive partner,"Friends with shared academic interests, healthy outlets for stress (e.g., sports, hobbies).","Close friends, opportunities for self-care, occasional counseling for academic pressure.","Creative community, understanding from family about entrepreneurial demands, stress management.","Strong support from spouse and family, peer group of non-traditional students, flexibility from instructors.","Family support, mentorship from older students/faculty, stress management techniques, community resources.","Friends with shared academic interests, healthy outlets for stress (e.g., sports, hobbies).","Close friends, opportunities for self-care, occasional counseling for academic pressure.","Friends with shared interests, occasional mental health resources for burnout.","Strong support from spouse and family, peer group of non-traditional students, flexibility from instructors.","Family support, mentorship from older students/faculty, stress management techniques, community resources."
Cultural Background,First-generation college student,"Bilingual, embraces diversity",Military background,International background,Native background influences views,Suburban middle-class,Underrepresented background,"Urban, upper-middle class",Diverse cultural perspectives,Rural background,Ethnic minority perspective,"Suburban, middle income",Strong emphasis on education and family values.,"Liberal, values social justice and intellectual discourse.","Strong family ties, celebrates cultural heritage through art and food.","Midwestern, values hard work and practicality.","Close-knit community, values resilience and perseverance, often first to pursue higher education.",Strong emphasis on education and family values.,"Liberal, values social justice and intellectual discourse.","Strong family ties, bilingual environment, values community.","Midwestern, values hard work and practicality, independent.","Close-knit community, values resilience and perseverance, often first to pursue higher education."
Financial Situation,Financially stable,Needs to work part-time,Receiving financial aid,Financially independent,Works to afford child care,Financially supported by family,Self-funded through part-time work,Well-compensated position,Grants and scholarships,Uses loans for tuition,Financially strained,Relies on scholarship,"Comfortable, tuition mostly covered by parents, part-time job for discretionary spending.","Stable, some financial aid, parents provide supplemental support, part-time job for expenses.","Variable, relies on business income and some parental support; mindful of expenses related to business.","Strained, relies on financial aid and full-time work, manages a tight budget, tuition is a major concern.","Strained, relies heavily on financial aid and part-time work, often helps support family, very budget-conscious.","Comfortable, tuition mostly covered by parents, part-time job for discretionary spending.","Stable, some financial aid, parents provide supplemental support, part-time job for expenses.","Moderate, relies on internship income and some parental support, conscious of expenses.","Strained, relies on financial aid and full-time work, manages a tight budget, tuition is a major concern.","Strained, relies heavily on financial aid and part-time work, often helps support family, very budget-conscious."
Responsiveness to Feedback,Seeks out feedback,Handles feedback well,Appreciates constructive feedback,Values feedback from professors,Feedback is sometimes difficult,Open to all feedback,Welcomes constructive criticism,Enjoys feedback to refine skills,Feedback-driven improvement,Finds feedback motivating,Values detailed feedback,Constructive feedback encouraged,"Highly responsive, seeks out feedback to improve and refine his understanding.","Very responsive, thrives on constructive criticism to strengthen arguments and research.","Responsive, especially in creative critiques; values feedback for improving products, can be sensitive to purely subjective criticism.","Highly responsive, eager to learn and improve, seeks clear and actionable feedback.","Responsive, but can be hesitant to ask for clarification; benefits from explicit and encouraging feedback.","Highly responsive, seeks out feedback to improve and refine his understanding.","Very responsive, thrives on constructive criticism to strengthen arguments and research.","Highly responsive, uses feedback to debug code and optimize solutions.","Highly responsive, eager to learn and improve, seeks clear and actionable feedback.","Responsive, but can be hesitant to ask for clarification; benefits from explicit and encouraging feedback."
Growth Mindset,Open to learning from mistakes,Growth-oriented,Shows perseverance,Views setbacks as learning,Willing to try new strategies,Always seeks improvement,Sees challenges as growth,Highly resilient and adaptive,Passionate about continuous growth,Seeks gradual improvement,Growth-focused,Encourages self-improvement,"Strong growth mindset, views challenges as opportunities to learn and develop new skills.","Strong growth mindset, actively seeks new knowledge and is open to changing perspectives.","Strong growth mindset, constantly iterating on ideas and learning from successes and failures.","Strong growth mindset, determined to master new subjects and embrace the challenge of returning to school.","Developing growth mindset, working to overcome self-doubt and embrace the learning process.","Strong growth mindset, views challenges as opportunities to learn and develop new skills.","Strong growth mindset, actively seeks new knowledge and is open to changing perspectives.","Strong growth mindset, enjoys learning new technologies and solving complex problems.","Strong growth mindset, determined to master new subjects and embrace the challenge of returning to school.","Developing growth mindset, working to overcome self-doubt and embrace the learning process."
Race/Ethnic Background,White,Hispanic/Latino,Black,Asian,Native American,Native Pacific Islander,Mixed Race (White and Black),Mixed Race (Asian and White),Mixed Race (Native American and Hispanic/Latino),Mixed Race (Black and Hispanic/Latino),Mixed Race (Asian and Black),Adopted (Choose race of student and family),None reported.,None reported.,"None reported, but can struggle with self-discipline on tasks she finds unengaging.","None reported, but initially experienced ""return to school"" anxiety and a steep learning curve with technology.","Suspected mild ADD (undiagnosed), struggles with sustained focus and organization; benefits from frequent breaks and structured task lists.",None reported.,None reported.,"None reported, but can get hyper-focused and occasionally neglect other aspects of life.","None reported, but initially experienced ""return to school"" anxiety and a steep learning curve with new technology.","Undiagnosed mild ADHD (suspected), struggles with sustained focus and organization; benefits from structured learning and frequent check-ins."
